transaction_id,timestamp,city,branch_code,account_no,amount,type,transaction_status
BANBR004000000,2023-09-01 00:00:00,bangalore,BR004,87554539,4568.23,DEBIT,SUCCESS
BANBR004000001,2023-09-01 01:00:00,bangalore,BR004,24010312,3903.52,TRANSFER,SUCCESS
BANBR004000002,2023-09-01 02:00:00,bangalore,BR004,52212634,4380.11,TRANSFER,SUCCESS
BANBR004000003,2023-09-01 03:00:00,bangalore,BR004,76194285,9794.69,CASH_OUT,SUCCESS
BANBR004000004,2023-09-01 04:00:00,bangalore,BR004,43604704,977.47,PAYMENT,SUCCESS
BANBR004000005,2023-09-01 05:00:00,bangalore,BR004,52996926,9230.09,CASH_OUT,SUCCESS
BANBR004000006,2023-09-01 06:00:00,bangalore,BR004,76568638,4854.34,TRANSFER,FAILED
BANBR004000007,2023-09-01 07:00:00,bangalore,BR004,18874768,6275.05,CASH_OUT,SUCCESS
BANBR004000008,2023-09-01 08:00:00,bangalore,BR004,90665059,8318.81,CASH_OUT,SUCCESS
BANBR004000009,2023-09-01 09:00:00,bangalore,BR004,61071824,3668.58,TRANSFER,SUCCESS
BANBR004000010,2023-09-01 10:00:00,bangalore,BR004,14276945,4361.18,TRANSFER,SUCCESS
BANBR004000011,2023-09-01 11:00:00,bangalore,BR004,24370931,4154.23,CASH_OUT,SUCCESS
BANBR004000012,2023-09-01 12:00:00,bangalore,BR004,66306198,3809.84,CASH_OUT,SUCCESS
BANBR004000013,2023-09-01 13:00:00,bangalore,BR004,96025543,9262.74,CASH_OUT,SUCCESS
BANBR004000014,2023-09-01 14:00:00,bangalore,BR004,64398860,8306.41,DEBIT,SUCCESS
BANBR004000015,2023-09-01 15:00:00,bangalore,BR004,17491990,1179.1,CASH_OUT,SUCCESS
BANBR004000016,2023-09-01 16:00:00,bangalore,BR004,76708149,1170.42,DEBIT,SUCCESS
BANBR004000017,2023-09-01 17:00:00,bangalore,BR004,69079827,4335.91,PAYMENT,SUCCESS
BANBR004000018,2023-09-01 18:00:00,bangalore,BR004,26551253,1076.71,DEBIT,SUCCESS
BANBR004000019,2023-09-01 19:00:00,bangalore,BR004,58104371,6229.02,CASH_OUT,FAILED
BANBR004000020,2023-09-01 20:00:00,bangalore,BR004,54433430,1522.55,PAYMENT,SUCCESS
BANBR004000021,2023-09-01 21:00:00,bangalore,BR004,61119208,5271.5,DEBIT,SUCCESS
BANBR004000022,2023-09-01 22:00:00,bangalore,BR004,91344162,171.48,DEBIT,SUCCESS
BANBR004000023,2023-09-01 23:00:00,bangalore,BR004,40572098,3234.3,TRANSFER,SUCCESS
BANBR004000024,2023-09-02 00:00:00,bangalore,BR004,45700513,6804.19,PAYMENT,SUCCESS
BANBR004000025,2023-09-02 01:00:00,bangalore,BR004,58840480,4891.99,TRANSFER,SUCCESS
BANBR004000026,2023-09-02 02:00:00,bangalore,BR004,65322192,9784.87,PAYMENT,SUCCESS
BANBR004000027,2023-09-02 03:00:00,bangalore,BR004,29320466,8753.63,DEBIT,SUCCESS
BANBR004000028,2023-09-02 04:00:00,bangalore,BR004,25488221,3654.8,TRANSFER,SUCCESS
BANBR004000029,2023-09-02 05:00:00,bangalore,BR004,82686422,550.32,CASH_OUT,SUCCESS
BANBR004000030,2023-09-02 06:00:00,bangalore,BR004,10083576,8471.7,DEBIT,SUCCESS
BANBR004000031,2023-09-02 07:00:00,bangalore,BR004,12117709,9121.22,PAYMENT,SUCCESS
BANBR004000032,2023-09-02 08:00:00,bangalore,BR004,21031873,8224.21,PAYMENT,SUCCESS
BANBR004000033,2023-09-02 09:00:00,bangalore,BR004,76331430,1366.7,TRANSFER,SUCCESS
BANBR004000034,2023-09-02 10:00:00,bangalore,BR004,64562032,9979.36,TRANSFER,SUCCESS
BANBR004000035,2023-09-02 11:00:00,bangalore,BR004,47729297,2659.98,PAYMENT,SUCCESS
BANBR004000036,2023-09-02 12:00:00,bangalore,BR004,90929221,7269.63,DEBIT,SUCCESS
BANBR004000037,2023-09-02 13:00:00,bangalore,BR004,51565626,9089.55,TRANSFER,SUCCESS
BANBR004000038,2023-09-02 14:00:00,bangalore,BR004,11977247,2433.3,CASH_OUT,SUCCESS
BANBR004000039,2023-09-02 15:00:00,bangalore,BR004,98574228,9091.76,PAYMENT,SUCCESS
BANBR004000040,2023-09-02 16:00:00,bangalore,BR004,28392487,3163.87,CASH_OUT,SUCCESS
BANBR004000041,2023-09-02 17:00:00,bangalore,BR004,55209051,9766.49,PAYMENT,SUCCESS
BANBR004000042,2023-09-02 18:00:00,bangalore,BR004,98093722,2884.47,CASH_OUT,SUCCESS
BANBR004000043,2023-09-02 19:00:00,bangalore,BR004,77287846,9539.01,DEBIT,SUCCESS
BANBR004000044,2023-09-02 20:00:00,bangalore,BR004,89560661,630.09,PAYMENT,SUCCESS
BANBR004000045,2023-09-02 21:00:00,bangalore,BR004,75339754,7121.79,DEBIT,SUCCESS
BANBR004000046,2023-09-02 22:00:00,bangalore,BR004,54961150,5367.9,TRANSFER,SUCCESS
BANBR004000047,2023-09-02 23:00:00,bangalore,BR004,85090670,4830.98,PAYMENT,SUCCESS
BANBR004000048,2023-09-03 00:00:00,bangalore,BR004,47048844,2312.59,DEBIT,SUCCESS
BANBR004000049,2023-09-03 01:00:00,bangalore,BR004,98010109,7085.4,CASH_OUT,SUCCESS
BANBR004000050,2023-09-03 02:00:00,bangalore,BR004,23026765,1989.01,DEBIT,SUCCESS
BANBR004000051,2023-09-03 03:00:00,bangalore,BR004,76840631,5573.13,PAYMENT,SUCCESS
BANBR004000052,2023-09-03 04:00:00,bangalore,BR004,40020837,2607.13,DEBIT,FAILED
BANBR004000053,2023-09-03 05:00:00,bangalore,BR004,66980177,9560.65,CASH_OUT,SUCCESS
BANBR004000054,2023-09-03 06:00:00,bangalore,BR004,68349503,383.45,CASH_OUT,SUCCESS
BANBR004000055,2023-09-03 07:00:00,bangalore,BR004,69319479,2077.31,CASH_OUT,SUCCESS
BANBR004000056,2023-09-03 08:00:00,bangalore,BR004,21285878,2498.88,TRANSFER,SUCCESS
BANBR004000057,2023-09-03 09:00:00,bangalore,BR004,45227107,4199.27,PAYMENT,SUCCESS
BANBR004000058,2023-09-03 10:00:00,bangalore,BR004,86006379,2404.03,CASH_OUT,SUCCESS
BANBR004000059,2023-09-03 11:00:00,bangalore,BR004,72150915,4964.36,TRANSFER,SUCCESS
BANBR004000060,2023-09-03 12:00:00,bangalore,BR004,10932280,8737.41,CASH_OUT,SUCCESS
BANBR004000061,2023-09-03 13:00:00,bangalore,BR004,73927127,7149.43,DEBIT,SUCCESS
BANBR004000062,2023-09-03 14:00:00,bangalore,BR004,30027831,5841.62,PAYMENT,SUCCESS
BANBR004000063,2023-09-03 15:00:00,bangalore,BR004,21595422,981.13,DEBIT,FAILED
BANBR004000064,2023-09-03 16:00:00,bangalore,BR004,12606041,6970.52,TRANSFER,SUCCESS
BANBR004000065,2023-09-03 17:00:00,bangalore,BR004,38899148,1747.5,DEBIT,SUCCESS
BANBR004000066,2023-09-03 18:00:00,bangalore,BR004,12375093,7885.04,DEBIT,SUCCESS
BANBR004000067,2023-09-03 19:00:00,bangalore,BR004,47720199,2575.56,CASH_OUT,FAILED
BANBR004000068,2023-09-03 20:00:00,bangalore,BR004,88910646,4228.78,DEBIT,SUCCESS
BANBR004000069,2023-09-03 21:00:00,bangalore,BR004,47174035,3569.66,CASH_OUT,SUCCESS
BANBR004000070,2023-09-03 22:00:00,bangalore,BR004,92065311,8602.26,CASH_OUT,SUCCESS
BANBR004000071,2023-09-03 23:00:00,bangalore,BR004,21490235,1352.79,PAYMENT,SUCCESS
BANBR004000072,2023-09-04 00:00:00,bangalore,BR004,66650417,5699.88,TRANSFER,SUCCESS
BANBR004000073,2023-09-04 01:00:00,bangalore,BR004,92807322,1506.41,TRANSFER,SUCCESS
BANBR004000074,2023-09-04 02:00:00,bangalore,BR004,57228023,7077.48,TRANSFER,FAILED
BANBR004000075,2023-09-04 03:00:00,bangalore,BR004,70996888,9060.27,CASH_OUT,SUCCESS
BANBR004000076,2023-09-04 04:00:00,bangalore,BR004,15719347,4402.62,TRANSFER,SUCCESS
BANBR004000077,2023-09-04 05:00:00,bangalore,BR004,80343363,4932.11,CASH_OUT,SUCCESS
BANBR004000078,2023-09-04 06:00:00,bangalore,BR004,59409300,9281.49,PAYMENT,SUCCESS
BANBR004000079,2023-09-04 07:00:00,bangalore,BR004,68811921,5257.81,TRANSFER,SUCCESS
BANBR004000080,2023-09-04 08:00:00,bangalore,BR004,47529652,4927.22,CASH_OUT,SUCCESS
BANBR004000081,2023-09-04 09:00:00,bangalore,BR004,71554759,5825.46,TRANSFER,SUCCESS
BANBR004000082,2023-09-04 10:00:00,bangalore,BR004,42309275,6923.37,TRANSFER,SUCCESS
BANBR004000083,2023-09-04 11:00:00,bangalore,BR004,56408148,1158.15,PAYMENT,SUCCESS
BANBR004000084,2023-09-04 12:00:00,bangalore,BR004,42886671,8228.99,DEBIT,SUCCESS
BANBR004000085,2023-09-04 13:00:00,bangalore,BR004,54524283,4411.5,TRANSFER,FAILED
BANBR004000086,2023-09-04 14:00:00,bangalore,BR004,66007567,816.25,PAYMENT,SUCCESS
BANBR004000087,2023-09-04 15:00:00,bangalore,BR004,36290376,7883.21,TRANSFER,SUCCESS
BANBR004000088,2023-09-04 16:00:00,bangalore,BR004,86725858,3831.8,TRANSFER,SUCCESS
BANBR004000089,2023-09-04 17:00:00,bangalore,BR004,76827729,1093.64,TRANSFER,SUCCESS
BANBR004000090,2023-09-04 18:00:00,bangalore,BR004,33946891,6374.41,TRANSFER,SUCCESS
BANBR004000091,2023-09-04 19:00:00,bangalore,BR004,32822482,8813.3,DEBIT,SUCCESS
BANBR004000092,2023-09-04 20:00:00,bangalore,BR004,81582255,8888.76,DEBIT,SUCCESS
BANBR004000093,2023-09-04 21:00:00,bangalore,BR004,90781077,9580.87,TRANSFER,SUCCESS
BANBR004000094,2023-09-04 22:00:00,bangalore,BR004,49629178,8690.28,TRANSFER,SUCCESS
BANBR004000095,2023-09-04 23:00:00,bangalore,BR004,20309367,121.2,PAYMENT,SUCCESS
BANBR004000096,2023-09-05 00:00:00,bangalore,BR004,12631550,3864.39,PAYMENT,SUCCESS
BANBR004000097,2023-09-05 01:00:00,bangalore,BR004,88093488,8203.57,CASH_OUT,SUCCESS
BANBR004000098,2023-09-05 02:00:00,bangalore,BR004,62384819,3725.9,DEBIT,SUCCESS
BANBR004000099,2023-09-05 03:00:00,bangalore,BR004,13487104,6055.33,TRANSFER,SUCCESS
BANBR004000100,2023-09-05 04:00:00,bangalore,BR004,44263873,6102.54,DEBIT,SUCCESS
BANBR004000101,2023-09-05 05:00:00,bangalore,BR004,96465749,3713.75,PAYMENT,SUCCESS
BANBR004000102,2023-09-05 06:00:00,bangalore,BR004,91129921,9054.29,DEBIT,SUCCESS
BANBR004000103,2023-09-05 07:00:00,bangalore,BR004,74076530,5081.96,DEBIT,SUCCESS
BANBR004000104,2023-09-05 08:00:00,bangalore,BR004,47541832,4701.36,TRANSFER,SUCCESS
BANBR004000105,2023-09-05 09:00:00,bangalore,BR004,66442312,9975.39,TRANSFER,SUCCESS
BANBR004000106,2023-09-05 10:00:00,bangalore,BR004,39509068,4985.65,PAYMENT,SUCCESS
BANBR004000107,2023-09-05 11:00:00,bangalore,BR004,87937757,1866.14,TRANSFER,SUCCESS
BANBR004000108,2023-09-05 12:00:00,bangalore,BR004,81382962,5179.39,PAYMENT,SUCCESS
BANBR004000109,2023-09-05 13:00:00,bangalore,BR004,20025396,8158.77,PAYMENT,SUCCESS
BANBR004000110,2023-09-05 14:00:00,bangalore,BR004,56761486,7790.92,CASH_OUT,SUCCESS
BANBR004000111,2023-09-05 15:00:00,bangalore,BR004,64342321,7906.96,CASH_OUT,SUCCESS
BANBR004000112,2023-09-05 16:00:00,bangalore,BR004,19172934,7109.44,CASH_OUT,SUCCESS
BANBR004000113,2023-09-05 17:00:00,bangalore,BR004,12462282,2616.76,DEBIT,SUCCESS
BANBR004000114,2023-09-05 18:00:00,bangalore,BR004,17059559,8634.63,CASH_OUT,SUCCESS
BANBR004000115,2023-09-05 19:00:00,bangalore,BR004,19258789,8945.09,TRANSFER,SUCCESS
BANBR004000116,2023-09-05 20:00:00,bangalore,BR004,47981863,2022.11,TRANSFER,SUCCESS
BANBR004000117,2023-09-05 21:00:00,bangalore,BR004,47738433,1391.51,CASH_OUT,SUCCESS
BANBR004000118,2023-09-05 22:00:00,bangalore,BR004,30064239,9758.49,DEBIT,SUCCESS
BANBR004000119,2023-09-05 23:00:00,bangalore,BR004,17519270,8696.41,PAYMENT,SUCCESS
BANBR004000120,2023-09-06 00:00:00,bangalore,BR004,41496649,8943.04,DEBIT,SUCCESS
BANBR004000121,2023-09-06 01:00:00,bangalore,BR004,65398763,8875.13,DEBIT,SUCCESS
BANBR004000122,2023-09-06 02:00:00,bangalore,BR004,11904400,5462.7,PAYMENT,SUCCESS
BANBR004000123,2023-09-06 03:00:00,bangalore,BR004,14122758,6499.38,PAYMENT,SUCCESS
BANBR004000124,2023-09-06 04:00:00,bangalore,BR004,78956533,5499.09,PAYMENT,SUCCESS
BANBR004000125,2023-09-06 05:00:00,bangalore,BR004,74634087,606.94,TRANSFER,SUCCESS
BANBR004000126,2023-09-06 06:00:00,bangalore,BR004,98414246,7480.48,PAYMENT,SUCCESS
