transaction_id,timestamp,city,branch_code,account_no,amount,type,transaction_status
DELBR004000000,2023-09-01 00:00:00,delhi,BR004,57612896,1491.02,CASH_OUT,SUCCESS
DELBR004000001,2023-09-01 01:00:00,delhi,BR004,87063521,4485.22,PAYMENT,FAILED
DELBR004000002,2023-09-01 02:00:00,delhi,BR004,96735175,5658.24,DEBIT,SUCCESS
DELBR004000003,2023-09-01 03:00:00,delhi,BR004,23924414,8505.53,DEBIT,SUCCESS
DELBR004000004,2023-09-01 04:00:00,delhi,BR004,75758489,4492.09,CASH_OUT,SUCCESS
DELBR004000005,2023-09-01 05:00:00,delhi,BR004,83888481,9195.6,DEBIT,SUCCESS
DELBR004000006,2023-09-01 06:00:00,delhi,BR004,86696582,4459.7,TRANSFER,SUCCESS
DELBR004000007,2023-09-01 07:00:00,delhi,BR004,94732542,5532.92,TRANSFER,SUCCESS
DELBR004000008,2023-09-01 08:00:00,delhi,BR004,10723879,7983.23,CASH_OUT,SUCCESS
DELBR004000009,2023-09-01 09:00:00,delhi,BR004,22377179,5872.37,CASH_OUT,SUCCESS
DELBR004000010,2023-09-01 10:00:00,delhi,BR004,28397030,9606.16,PAYMENT,FAILED
DELBR004000011,2023-09-01 11:00:00,delhi,BR004,61775963,6637.32,DEBIT,SUCCESS
DELBR004000012,2023-09-01 12:00:00,delhi,BR004,78611582,5274.82,PAYMENT,SUCCESS
DELBR004000013,2023-09-01 13:00:00,delhi,BR004,23772237,333.56,PAYMENT,SUCCESS
DELBR004000014,2023-09-01 14:00:00,delhi,BR004,96714420,4195.96,TRANSFER,SUCCESS
DELBR004000015,2023-09-01 15:00:00,delhi,BR004,89040997,3062.56,TRANSFER,SUCCESS
DELBR004000016,2023-09-01 16:00:00,delhi,BR004,83805443,7506.25,TRANSFER,SUCCESS
DELBR004000017,2023-09-01 17:00:00,delhi,BR004,43953257,2161.95,TRANSFER,SUCCESS
DELBR004000018,2023-09-01 18:00:00,delhi,BR004,58022891,2131.68,PAYMENT,SUCCESS
DELBR004000019,2023-09-01 19:00:00,delhi,BR004,75449071,1976.24,TRANSFER,SUCCESS
DELBR004000020,2023-09-01 20:00:00,delhi,BR004,23654424,1343.59,DEBIT,SUCCESS
