transaction_id,timestamp,city,branch_code,account_no,amount,type,transaction_status
MUMBR002000000,2023-09-01 00:00:00,mumbai,BR002,21618627,7732.76,CASH_OUT,SUCCESS
MUMBR002000001,2023-09-01 01:00:00,mumbai,BR002,25043403,775.67,TRANSFER,SUCCESS
MUMBR002000002,2023-09-01 02:00:00,mumbai,BR002,15525633,8387.08,CASH_OUT,SUCCESS
MUMBR002000003,2023-09-01 03:00:00,mumbai,BR002,62411802,4428.21,PAYMENT,SUCCESS
MUMBR002000004,2023-09-01 04:00:00,mumbai,BR002,79353566,9163.59,TRANSFER,SUCCESS
MUMBR002000005,2023-09-01 05:00:00,mumbai,BR002,30154994,7243.18,TRANSFER,SUCCESS
MUMBR002000006,2023-09-01 06:00:00,mumbai,BR002,37695858,6143.01,DEBIT,SUCCESS
MUMBR002000007,2023-09-01 07:00:00,mumbai,BR002,22920739,9498.14,TRANSFER,SUCCESS
MUMBR002000008,2023-09-01 08:00:00,mumbai,BR002,59282339,4026.83,TRANSFER,SUCCESS
MUMBR002000009,2023-09-01 09:00:00,mumbai,BR002,17726890,9545.46,PAYMENT,SUCCESS
MUMBR002000010,2023-09-01 10:00:00,mumbai,BR002,32674714,1436.51,TRANSFER,SUCCESS
MUMBR002000011,2023-09-01 11:00:00,mumbai,BR002,18357956,4889.17,PAYMENT,SUCCESS
MUMBR002000012,2023-09-01 12:00:00,mumbai,BR002,71413011,2772.12,PAYMENT,SUCCESS
MUMBR002000013,2023-09-01 13:00:00,mumbai,BR002,19451337,5444.44,PAYMENT,SUCCESS
MUMBR002000014,2023-09-01 14:00:00,mumbai,BR002,99729573,1703.94,PAYMENT,SUCCESS
MUMBR002000015,2023-09-01 15:00:00,mumbai,BR002,46940933,8431.14,CASH_OUT,SUCCESS
MUMBR002000016,2023-09-01 16:00:00,mumbai,BR002,84504214,8479.44,DEBIT,SUCCESS
MUMBR002000017,2023-09-01 17:00:00,mumbai,BR002,38688729,9556.84,CASH_OUT,SUCCESS
MUMBR002000018,2023-09-01 18:00:00,mumbai,BR002,52019117,1631.25,TRANSFER,SUCCESS
MUMBR002000019,2023-09-01 19:00:00,mumbai,BR002,34062169,6270.99,CASH_OUT,SUCCESS
MUMBR002000020,2023-09-01 20:00:00,mumbai,BR002,70628583,4794.95,CASH_OUT,SUCCESS
MUMBR002000021,2023-09-01 21:00:00,mumbai,BR002,35291709,3509.4,TRANSFER,FAILED
MUMBR002000022,2023-09-01 22:00:00,mumbai,BR002,40256337,3580.25,TRANSFER,SUCCESS
MUMBR002000023,2023-09-01 23:00:00,mumbai,BR002,86039128,4186.66,TRANSFER,SUCCESS
MUMBR002000024,2023-09-02 00:00:00,mumbai,BR002,35836512,7078.76,CASH_OUT,SUCCESS
MUMBR002000025,2023-09-02 01:00:00,mumbai,BR002,87782638,6023.03,CASH_OUT,SUCCESS
MUMBR002000026,2023-09-02 02:00:00,mumbai,BR002,41549031,4650.85,TRANSFER,SUCCESS
MUMBR002000027,2023-09-02 03:00:00,mumbai,BR002,46346859,851.74,DEBIT,SUCCESS
MUMBR002000028,2023-09-02 04:00:00,mumbai,BR002,21309411,869.88,DEBIT,SUCCESS
MUMBR002000029,2023-09-02 05:00:00,mumbai,BR002,63689327,123.16,PAYMENT,SUCCESS
MUMBR002000030,2023-09-02 06:00:00,mumbai,BR002,49302467,9680.22,TRANSFER,SUCCESS
MUMBR002000031,2023-09-02 07:00:00,mumbai,BR002,47944452,152.01,PAYMENT,SUCCESS
MUMBR002000032,2023-09-02 08:00:00,mumbai,BR002,79790583,1120.63,DEBIT,SUCCESS
MUMBR002000033,2023-09-02 09:00:00,mumbai,BR002,94776775,3214.51,PAYMENT,SUCCESS
MUMBR002000034,2023-09-02 10:00:00,mumbai,BR002,69220571,8093.56,TRANSFER,SUCCESS
MUMBR002000035,2023-09-02 11:00:00,mumbai,BR002,65684473,9624.78,TRANSFER,SUCCESS
MUMBR002000036,2023-09-02 12:00:00,mumbai,BR002,37580296,7921.13,TRANSFER,SUCCESS
MUMBR002000037,2023-09-02 13:00:00,mumbai,BR002,86796917,6936.55,CASH_OUT,FAILED
MUMBR002000038,2023-09-02 14:00:00,mumbai,BR002,73655986,5260.88,PAYMENT,SUCCESS
MUMBR002000039,2023-09-02 15:00:00,mumbai,BR002,85996188,958.38,DEBIT,SUCCESS
MUMBR002000040,2023-09-02 16:00:00,mumbai,BR002,55084109,9585.89,DEBIT,SUCCESS
MUMBR002000041,2023-09-02 17:00:00,mumbai,BR002,92972373,7608.08,DEBIT,SUCCESS
MUMBR002000042,2023-09-02 18:00:00,mumbai,BR002,29053322,6425.6,CASH_OUT,SUCCESS
MUMBR002000043,2023-09-02 19:00:00,mumbai,BR002,67292182,7614.45,CASH_OUT,SUCCESS
MUMBR002000044,2023-09-02 20:00:00,mumbai,BR002,93700525,7268.62,TRANSFER,SUCCESS
